time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate,train/value_loss,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/explained_variance,train/approx_kl
4096,922.3333333333334,1,3,184.58095966666667,1141,,,,,,,,,,
8192,1027.7142857142858,2,7,86.59380957142857,1024,1e-05,108.43712940216065,0.2,46.20690155029297,-0.00028568096458911894,2970,-0.3481119774281979,0.0,0.9329989552497864,0.00018959574
12288,939.0769230769231,3,12,151.99478153846155,981,1e-05,86.96020451784133,0.2,24.802255630493164,-0.00073340809030924,2980,-0.3431189915165305,0.000390625,0.9584205746650696,0.0006551789
16384,963.2941176470588,4,17,134.6681795882353,959,1e-05,135.42064903974534,0.2,55.42295837402344,-0.0005322844233887735,2990,-0.29123269403353336,0.0,0.9591804146766663,0.00025891914
20480,928.8571428571429,5,21,163.35630052380952,946,1e-05,143.3206446290016,0.2,55.59589385986328,-0.001313619629945606,3000,-0.3618845074437559,0.003466796875,0.9579750895500183,0.0013568408
24576,905.0370370370371,6,26,182.8551192962963,940,1e-05,148.53980581760408,0.2,61.11781311035156,-0.0018778600300720428,3010,-0.384753539878875,0.0057373046875,0.9619835615158081,0.0019881923
28672,893.21875,7,30,190.42728340625,940,1e-05,177.2386832714081,0.2,84.95773315429688,-0.0016977052800939418,3020,-0.28039571261033414,0.003076171875,0.9646638035774231,0.00093431526
32768,903.0277777777778,8,34,181.8030156111111,936,1e-05,178.32980074882508,0.2,63.77802276611328,-0.0017262587251025252,3030,-0.3089759241789579,0.005224609375,0.9659512639045715,0.0012354738
36864,913.275,9,39,173.15446402499998,935,1e-05,150.27624759674072,0.2,89.88622283935547,-0.0018567794890259393,3040,-0.33041048143059015,0.0033447265625,0.9723784327507019,0.0014279772
40960,905.2666666666667,10,43,180.70295457777777,935,1e-05,162.820547914505,0.2,104.01988220214844,-0.0008791604792349972,3050,-0.33884438602253797,0.000390625,0.9702302813529968,0.00031522216
45056,904.9387755102041,11,48,181.5488389387755,934,1e-05,215.28457763195038,0.2,47.90929412841797,-0.0011908432199561503,3060,-0.30734994616359473,0.0005126953125,0.9633011221885681,0.00050272816
49152,893.4,12,52,190.0261074727273,934,1e-05,187.92164685726166,0.2,132.90135192871094,-0.0023060631932821708,3070,-0.3117773959413171,0.0080322265625,0.9669182896614075,0.0015284959
53248,885.5593220338983,13,57,196.154138440678,933,1e-05,211.0656888961792,0.2,70.03011322021484,-0.0021341520514397416,3080,-0.28135122545063496,0.006591796875,0.967802882194519,0.0011668442
