time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate
7,452.22222222222223,559,79.25555555555555,1,4096,,,,,,,,,,
14,411.42105263157896,551,96.86842105263158,2,8192,13.723268841207027,4.382522106170654,2720,-0.36106036277487874,0.014330114,0.0794189453125,0.8293848037719727,-0.010768477131205146,0.2,0.0003
22,420.0344827586207,545,92.48965517241382,3,12288,16.860332933068275,7.79557991027832,2730,-0.33882935931906105,0.008262813,0.074169921875,0.9177569150924683,-0.009764208109118044,0.2,0.0003
29,419.94871794871796,547,92.91794871794872,4,16384,17.003678368031977,8.088220596313477,2740,-0.4043453403748572,0.008433031,0.0859619140625,0.9456019401550293,-0.011992804527108093,0.2,0.0003
37,435.63829787234044,548,85.47659574468085,5,20480,23.113289082050322,9.48861026763916,2750,-0.39996287701651456,0.0077233925,0.0761962890625,0.959253191947937,-0.010370679275365547,0.2,0.0003
44,433.6181818181818,548,86.44909090909091,6,24576,19.55075447410345,6.181815147399902,2760,-0.45835863063111904,0.011042144,0.086962890625,0.97019362449646,-0.011225294147880049,0.2,0.0003
52,442.71875,549,82.2671875,7,28672,25.623226448893547,8.665335655212402,2770,-0.431469208560884,0.005837526,0.068408203125,0.974328875541687,-0.009049976739333943,0.2,0.0003
60,433.3378378378378,546,86.59594594594594,8,32768,27.720332172513007,12.049290657043457,2780,-0.42117003509774803,0.009116029,0.078564453125,0.9762006998062134,-0.011197354688192718,0.2,0.0003
68,438.82142857142856,535,84.01785714285714,9,36864,32.40040212571621,21.993532180786133,2790,-0.38878195034340024,0.008054746,0.078515625,0.9759502410888672,-0.0086903063202044,0.2,0.0003
76,446.032967032967,533,80.71648351648352,10,40960,28.621289452910425,7.097883701324463,2800,-0.41109664756804704,0.008509266,0.0723876953125,0.9793496131896973,-0.011524356610607356,0.2,0.0003
84,445.42,531,81.12200000000001,11,45056,22.361818385124206,3.211547613143921,2810,-0.46149103259667756,0.009150912,0.0915283203125,0.9840686321258545,-0.008946411892247852,0.2,0.0003
92,447.21,528,79.696,12,49152,36.330826407670976,9.913418769836426,2820,-0.3825428383424878,0.006988664,0.0817626953125,0.978422999382019,-0.010761780638858909,0.2,0.0003
100,446.95,527,79.868,13,53248,29.504369102418423,22.079065322875977,2830,-0.45555063243955374,0.008600626,0.0961669921875,0.9783939123153687,-0.01179997981816996,0.2,0.0003
