rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,train/loss,train/value_loss
178.54545454545453,1,-55.82727272727273,2048,1,1671,,,,,,,,,,
174.0,4,-52.54347826086956,4096,2,983,0.2,0.005721348,0.019921875,-0.0058028223327710295,0.02889019250869751,0.0003,-1.3831667732447386,10,6.409584999084473,10.158872711658478
169.91666666666666,6,-51.40833333333333,6144,3,907,0.2,0.009501727,0.0578125,-0.0065569140511797745,0.12379664182662964,0.0003,-1.372983645275235,20,7.067671298980713,15.688628704100847
165.46938775510205,9,-49.03061224489795,8192,4,867,0.2,0.0068199504,0.051904296875,-0.008040886107482947,0.08676654100418091,0.0003,-1.3635117936879397,30,12.328081130981445,22.053106054663658
167.44262295081967,12,-50.36721311475409,10240,5,844,0.2,0.0049532615,0.026025390625,-0.003175131130410591,0.1049649715423584,0.0003,-1.3506757289171218,40,8.594561576843262,26.674612744152547
165.45945945945945,14,-49.34594594594594,12288,6,834,0.2,0.008723682,0.07548828125,-0.008750599996710661,0.10988962650299072,0.0003,-1.3413036432117225,50,6.930474758148193,26.39745412170887
164.52325581395348,16,-49.14767441860465,14336,7,855,0.2,0.008209517,0.055712890625,-0.006048355747770984,0.07745283842086792,0.0003,-1.3339348014444112,60,23.190126419067383,36.2502913326025
163.4,18,-48.588999999999984,16384,8,872,0.2,0.008895835,0.0779296875,-0.006269388367945794,0.12578165531158447,0.0003,-1.3369610946625472,70,17.648488998413086,31.076713846623896
163.97,20,-49.51599999999999,18432,9,887,0.2,0.010326137,0.07294921875,-0.008401614023023285,0.13475990295410156,0.0003,-1.3251986976712942,80,15.019085884094238,47.70828029513359
163.28,22,-49.54200000000001,20480,10,897,0.2,0.006154226,0.0494140625,-0.005936737700540107,0.25089937448501587,0.0003,-1.3133001450449229,90,7.653809070587158,20.786569818854332
163.5,24,-49.4,22528,11,906,0.2,0.0062788343,0.029833984375,-0.003996046844986267,0.20769059658050537,0.0003,-1.3121423147618771,100,5.904721260070801,35.65187199711799
162.64,26,-48.929,24576,12,916,0.2,0.008687217,0.0501953125,-0.005026065307902172,0.13558584451675415,0.0003,-1.2982373755425214,110,12.021698951721191,38.07454844117164
152.74,28,-43.123000000000005,26624,13,925,0.2,0.0045951554,0.0326171875,-0.005820258619496599,0.07143521308898926,0.0003,-1.2868167504668235,120,12.035245895385742,61.36558651328087
147.27,30,-39.227999999999994,28672,14,930,0.2,0.009238019,0.0826171875,-0.010272526746848597,0.037949323654174805,0.0003,-1.2727946322411299,130,33.4627685546875,74.6224471092224
145.24,32,-38.366,30720,15,937,0.2,0.007935679,0.0748046875,-0.007855738486978226,0.018270790576934814,0.0003,-1.2593092877417802,140,28.33794593811035,62.55384920835495
136.66,34,-32.576,32768,16,940,0.2,0.0047816625,0.059423828125,-0.00720072924887063,0.08818382024765015,0.0003,-1.277403388917446,150,25.139116287231445,44.707955756783484
137.53,36,-34.001,34816,17,945,0.2,0.009427161,0.0875,-0.009625107937608846,0.08729338645935059,0.0003,-1.2702638410031795,160,22.83839988708496,63.47433854341507
132.97,38,-31.482000000000003,36864,18,952,0.2,0.007228826,0.07041015625,-0.008424885739805177,0.2789410948753357,0.0003,-1.2759741175919772,170,9.599455833435059,27.94804042875767
132.16,40,-30.898000000000003,38912,19,955,0.2,0.012389261,0.144384765625,-0.012810402682225686,0.10866677761077881,0.0003,-1.2756308391690254,180,25.167827606201172,60.33925575613976
131.02,42,-30.562,40960,20,960,0.2,0.008986546,0.0685546875,-0.008271321108622942,0.13191092014312744,0.0003,-1.2510681249201299,190,21.155214309692383,68.36494911313056
130.05,44,-29.824999999999996,43008,21,962,0.2,0.009605227,0.075244140625,-0.008865706107462757,0.12353229522705078,0.0003,-1.248095953837037,200,21.52430534362793,51.22726076245308
125.33,46,-27.041999999999998,45056,22,966,0.2,0.0071754167,0.0939453125,-0.008936632134282262,0.12090122699737549,0.0003,-1.2205662783235312,210,29.734472274780273,58.01400906443596
123.31,48,-25.2,47104,23,970,0.2,0.006153988,0.048583984375,-0.00433904667297611,0.039821624755859375,0.0003,-1.2025452084839343,220,26.058076858520508,61.82274297475815
