timesteps,episode_len_mean,reward_mean,stage,episode_len_smooth,reward_smooth
4096.0,452.22222222222223,79.25555555555555,Gladiador: adaptacao 15x15,452.22222222222223,79.25555555555555
8192.0,411.42105263157896,96.86842105263158,Gladiador: adaptacao 15x15,431.82163742690057,88.06198830409356
12288.0,420.0344827586207,92.48965517241382,Gladiador: adaptacao 15x15,427.8925858708073,89.53787726020032
16384.0,419.948717948718,92.91794871794872,Gladiador: adaptacao 15x15,425.90661889028496,90.38289512463741
20480.0,435.6382978723405,85.47659574468085,Gladiador: adaptacao 15x15,427.8529546866961,89.4016352486461
24576.0,433.6181818181818,86.44909090909091,Gladiador: adaptacao 15x15,424.132146605888,90.84034231935318
28672.0,442.71875,82.2671875,Gladiador: adaptacao 15x15,430.3916860795722,87.92009560882687
32768.0,433.3378378378378,86.59594594594594,Gladiador: adaptacao 15x15,433.0523570954157,86.74135376353328
36864.0,438.82142857142856,84.01785714285714,Gladiador: adaptacao 15x15,436.8268992199577,84.96133544851497
40960.0,446.032967032967,80.71648351648352,Gladiador: adaptacao 15x15,438.9058330520831,84.0093130028755
45056.0,445.42,81.12200000000001,Gladiador: adaptacao 15x15,441.2661966884467,82.94389482105733
49152.0,447.21,79.696,Gladiador: adaptacao 15x15,442.1644466884467,82.42965732105732
53248.0,446.95,79.868,Gladiador: adaptacao 15x15,444.8868791208791,81.08406813186812
4096.0,642.2,185.38,Imperador: fine-tune 20x20,642.2,185.38
8192.0,707.2727272727273,160.03636363636363,Imperador: fine-tune 20x20,674.7363636363636,172.7081818181818
12288.0,633.578947368421,196.9105263157895,Imperador: fine-tune 20x20,661.0172248803827,180.77562998405105
16384.0,618.3846153846154,205.42307692307688,Imperador: fine-tune 20x20,650.359072506441,186.9374917188075
20480.0,593.5,217.75294117647056,Imperador: fine-tune 20x20,638.9872580051527,193.10058161034013
24576.0,570.2857142857143,229.03809523809525,Imperador: fine-tune 20x20,624.6044008622956,201.83220065795916
28672.0,557.2745098039215,235.5196078431373,Imperador: fine-tune 20x20,594.6047573685344,216.9288494993139
4096.0,922.3333333333334,184.58095966666667,MERLIN: fine-tune 20x20,922.3333333333334,184.58095966666667
8192.0,1027.7142857142858,86.59380957142857,MERLIN: fine-tune 20x20,975.0238095238096,135.5873846190476
12288.0,939.0769230769232,151.99478153846155,MERLIN: fine-tune 20x20,963.0415140415142,141.05651692551893
16384.0,963.2941176470588,134.6681795882353,MERLIN: fine-tune 20x20,963.1046649429003,139.459432591198
20480.0,928.8571428571428,163.35630052380952,MERLIN: fine-tune 20x20,956.2551605257488,144.2388061777203
24576.0,905.0370370370372,182.8551192962963,MERLIN: fine-tune 20x20,952.7959012664894,143.89363810364625
28672.0,893.21875,190.42728340625,MERLIN: fine-tune 20x20,925.8967941236324,164.66033287061055
32768.0,903.0277777777778,181.8030156111111,MERLIN: fine-tune 20x20,918.6869650638033,170.62197968514045
36864.0,913.275,173.15446402499998,MERLIN: fine-tune 20x20,908.6831415343916,178.3192365724934
40960.0,905.2666666666668,180.70295457777777,MERLIN: fine-tune 20x20,903.9650462962964,181.78856738328705
45056.0,904.938775510204,181.5488389387755,MERLIN: fine-tune 20x20,903.9453939909297,181.52731131178285
49152.0,893.4,190.0261074727273,MERLIN: fine-tune 20x20,903.9816439909297,181.44707612507833
53248.0,885.5593220338983,196.154138440678,MERLIN: fine-tune 20x20,900.4879528421537,184.31730069099171
